date,open,high,low,close,volume,amount
2025-01-02,922.819,933.005,899.742,906.635,1346655000,12030795800.0
2025-01-03,909.103,913.988,887.315,889.127,1467828100,12052537200.0
2025-01-06,893.176,919.261,888.192,916.887,1967578900,17383614000.0
2025-01-07,914.573,914.573,885.804,904.359,1705827300,14992889000.0
2025-01-08,900.8,909.178,883.178,900.338,1614492400,13332608400.0
2025-01-09,892.989,903.656,884.875,892.886,1130704920,9882600400.0
2025-01-10,891.706,894.208,866.322,866.322,1120000850,9716737400.0
2025-01-13,857.73,868.719,850.248,867.997,885141880,7782137500.0
2025-01-14,870.969,895.415,870.969,895.415,1123385330,9985751800.0
2025-01-15,895.418,895.418,884.906,889.193,857001350,7943011400.0
2025-01-16,891.015,903.001,884.983,891.305,922839690,8150007300.0
2025-01-17,889.268,896.758,884.187,893.728,795981840,7110362100.0
2025-01-20,898.417,906.028,895.212,902.743,976075330,8867004000.0
2025-01-21,905.685,906.154,890.978,895.851,788118500,7173793100.0
2025-01-22,891.931,891.931,881.898,885.267,729768460,6615580400.0
2025-01-23,892.746,900.948,886.085,886.085,852507640,7858262800.0
2025-01-24,884.15,888.575,877.493,887.667,823221330,7505843100.0
2025-01-27,888.983,898.433,886.301,887.056,842594280,7563646500.0
2025-02-05,893.981,897.16,889.902,895.918,862399170,7674038800.0
2025-02-06,895.355,903.271,886.421,903.197,1082170940,8721158900.0
2025-02-07,902.545,920.772,901.208,915.845,1370066400,12070139600.0
2025-02-10,916.945,935.012,916.351,934.97,1481647600,13171354200.0
2025-02-11,933.832,933.846,919.879,924.955,1068035600,10019835800.0
2025-02-12,923.096,925.887,916.992,924.613,928530730,8734632700.0
2025-02-13,924.531,930.728,918.257,924.391,1042462600,10337616400.0
2025-02-14,922.869,942.656,922.869,938.918,1347282500,13811331000.0
2025-02-17,944.617,951.096,937.577,943.995,1674803200,16800530000.0
2025-02-18,942.314,942.314,912.829,915.167,1462537900,13102869300.0
2025-02-19,914.386,920.576,910.352,920.576,997861360,9550493600.0
2025-02-20,920.202,938.025,920.202,933.104,1243294350,12928307900.0
2025-02-21,931.998,937.167,918.547,927.587,1323798610,12776247700.0
2025-02-24,927.581,930.495,921.25,926.669,1177938970,11313187600.0
2025-02-25,920.393,923.669,913.891,915.492,1042181480,9920944100.0
2025-02-26,915.998,926.251,915.982,926.251,1013144050,9714754800.0
2025-02-27,925.953,929.365,915.647,928.367,1095509170,10233255800.0
2025-02-28,925.377,929.502,904.98,906.523,1174155330,10996951900.0
2025-03-03,907.701,924.239,907.701,915.078,955229130,10149411400.0
2025-03-04,911.469,920.249,908.55,920.249,774924910,7573275500.0
2025-03-05,920.529,920.529,905.658,912.818,800169000,7951162600.0
2025-03-06,914.598,920.843,909.731,920.039,963129970,9394291600.0
2025-03-07,918.171,920.576,909.584,913.074,1042131990,8561859500.0
2025-03-10,920.407,934.701,920.407,934.475,1285412740,13112807200.0
2025-03-11,925.797,931.461,921.975,931.461,1028343130,10246125700.0
2025-03-12,932.542,936.733,930.061,932.286,1060831950,10793858300.0
2025-03-13,932.173,934.605,923.344,931.29,1235437150,12167244900.0
2025-03-14,930.031,950.55,927.997,950.55,1431287200,15295772000.0
2025-03-17,953.24,953.641,946.658,948.388,1398589400,12935992800.0
2025-03-18,950.216,951.724,944.572,951.299,997474780,10534770700.0
2025-03-19,949.642,955.395,947.94,950.871,1020943450,12171910800.0
2025-03-20,949.871,952.155,946.202,948.819,947581450,10514464800.0
2025-03-21,958.763,962.079,939.627,942.821,1625379500,14993546000.0
2025-03-24,937.127,940.553,916.308,928.506,1285864150,12085971200.0
2025-03-25,926.218,930.872,918.89,929.422,901176980,9665326900.0
2025-03-26,925.7,934.775,924.44,931.711,1011886230,11818604400.0
2025-03-27,928.796,939.246,918.853,936.641,1279977090,15324238000.0
2025-03-28,934.679,945.008,926.121,926.309,1317811860,15433552000.0
2025-03-31,920.806,921.959,902.627,910.569,1483663100,16067361000.0
2025-04-01,912.713,949.542,912.713,939.902,2103530900,23830670000.0
2025-04-02,938.073,945.502,933.649,938.259,1322556730,15015071000.0
